GO:0005576	OG0000000
GO:0005689	OG0000001
GO:0008234	OG0000002
GO:0005739	OG0000003
GO:0004471	OG0000005
GO:0016985	OG0000006
GO:0005634	OG0000007
GO:0046910	OG0000008
GO:0005634	OG0000009
GO:0005634	OG0000010
GO:0005634	OG0000013
GO:0005737	OG0000014
GO:0004471	OG0000015
GO:0004180	OG0000016
GO:0016020	OG0000019
GO:0008234	OG0000020
GO:0005737	OG0000022
GO:0046910	OG0000023
GO:0005777	OG0000025
GO:0005634	OG0000026
GO:0005886	OG0000028
GO:0005737	OG0000030
GO:0016874	OG0000031
GO:0005739	OG0000032
GO:0004470	OG0000033
GO:0005615	OG0000034
GO:0032580	OG0000036
GO:0005634	OG0000037
GO:0000228	OG0000038
GO:0005739	OG0000039
GO:0003676	OG0000040
GO:0000779	OG0000041
GO:0000779	OG0000042
GO:0005794	OG0000043
GO:0005739	OG0000044
GO:0010227	OG0000045
GO:0000427	OG0000046
GO:0046910	OG0000047
GO:0004650	OG0000048
GO:0005743	OG0000049
GO:0005886	OG0000051
GO:0005634	OG0000053
GO:0004650	OG0000054
GO:0005634	OG0000055
GO:0005634	OG0000056
GO:0016020	OG0000057
GO:0005634	OG0000059
GO:0008234	OG0000060
GO:0005634	OG0000061
GO:0000779	OG0000062
GO:0004650	OG0000063
GO:0005737	OG0000064
GO:0005739	OG0000065
GO:0004869	OG0000066
GO:0005634	OG0000070
GO:0008483	OG0000071
GO:0005730	OG0000072
GO:0005689	OG0000073
GO:0005783	OG0000074
GO:0005634	OG0000076
GO:0004535	OG0000077
GO:0005689	OG0000078
GO:0005737	OG0000079
GO:0035251	OG0000080
GO:0005743	OG0000081
GO:0032580	OG0000082
GO:0005737	OG0000083
GO:0005730	OG0000084
GO:0004535	OG0000085
GO:0004185	OG0000088
GO:0005634	OG0000089
GO:0005576	OG0000090
GO:0030246	OG0000092
GO:0005684	OG0000093
GO:0016020	OG0000094
GO:0005794	OG0000095
GO:0005634	OG0000096
GO:0005634	OG0000097
GO:0005739	OG0000100
GO:0016301	OG0000101
GO:0016020	OG0000102
GO:0005634	OG0000103
GO:0016020	OG0000104
GO:0005737	OG0000105
GO:0000786	OG0000106
GO:0046910	OG0000107
GO:0022625	OG0000109
GO:0005634	OG0000110
GO:0006952	OG0000111
GO:0003723	OG0000112
GO:0016602	OG0000113
GO:0005634	OG0000114
GO:0000779	OG0000115
GO:0005737	OG0000116
GO:0016020	OG0000118
GO:0005789	OG0000119
GO:0016020	OG0000120
GO:0005739	OG0000121
GO:0022627	OG0000122
GO:0005524	OG0000123
GO:0005576	OG0000124
GO:0005774	OG0000125
GO:0022625	OG0000126
GO:0005576	OG0000127
GO:0005634	OG0000128
GO:0000228	OG0000129
GO:0071555	OG0000130
GO:0022627	OG0000131
GO:0000145	OG0000132
GO:0005886	OG0000133
GO:0009987	OG0000134
GO:0005634	OG0000135
GO:0000786	OG0000136
GO:0005829	OG0000137
GO:0004471	OG0000138
GO:0005634	OG0000139
GO:0008234	OG0000140
GO:0016020	OG0000141
GO:0016020	OG0000142
GO:0004650	OG0000143
GO:0009733	OG0000144
GO:0008270	OG0000145
GO:0016020	OG0000146
GO:0004650	OG0000147
GO:0046910	OG0000148
GO:0016020	OG0000150
GO:0005634	OG0000151
GO:0005634	OG0000152
GO:0016020	OG0000153
GO:0004650	OG0000154
GO:0009733	OG0000155
GO:0005743	OG0000156
GO:0043231	OG0000157
GO:0005576	OG0000161
GO:0005737	OG0000162
GO:0004497	OG0000166
GO:0000148	OG0000167
GO:0016020	OG0000168
GO:0006952	OG0000169
GO:0005743	OG0000170
GO:0005886	OG0000171
GO:0005615	OG0000172
GO:0005737	OG0000173
GO:0031966	OG0000174
GO:0005634	OG0000175
GO:0043232	OG0000176
GO:0005634	OG0000177
GO:0005737	OG0000178
GO:0005737	OG0000179
GO:0110165	OG0000180
GO:0010073	OG0000181
GO:0004471	OG0000183
GO:0009536	OG0000185
GO:0004470	OG0000186
GO:0005576	OG0000187
GO:0000139	OG0000188
GO:0005737	OG0000190
GO:0000786	OG0000191
GO:0003676	OG0000192
GO:0022627	OG0000193
GO:0004869	OG0000194
GO:0005754	OG0000195
GO:0005634	OG0000196
GO:0005634	OG0000197
GO:0005737	OG0000200
GO:0032580	OG0000201
GO:0004180	OG0000202
GO:0015935	OG0000203
GO:0005634	OG0000204
GO:0046910	OG0000205
GO:0005840	OG0000206
GO:0005886	OG0000208
GO:0031176	OG0000209
GO:0051082	OG0000210
GO:0009522	OG0000211
GO:0005634	OG0000212
GO:0005576	OG0000213
GO:0005952	OG0000214
GO:0008194	OG0000216
GO:0006952	OG0000217
GO:0012505	OG0000218
GO:0005847	OG0000220
GO:0016706	OG0000221
GO:0004797	OG0000222
GO:0009570	OG0000223
GO:0016020	OG0000224
GO:0005739	OG0000225
GO:0000786	OG0000226
GO:0005886	OG0000227
GO:0016020	OG0000228
GO:0005739	OG0000229
GO:0000148	OG0000230
GO:0005576	OG0000231
GO:0016020	OG0000232
GO:0051082	OG0000233
GO:0005847	OG0000234
GO:0016020	OG0000235
GO:0005802	OG0000236
GO:0005829	OG0000237
GO:0005886	OG0000238
GO:0009536	OG0000239
GO:0016020	OG0000240
GO:0019538	OG0000241
GO:0016020	OG0000242
GO:0016020	OG0000243
GO:0005634	OG0000245
GO:0016020	OG0000246
